mode;A;B;n_games;seed;wins_A;wins_B;winrate_A_pct;winrate_B_pct;winrate_A_ci95_low_pct;winrate_A_ci95_high_pct;avg_rounds_overall;n_repetitions;winrate_A_mean_pct;winrate_A_std_pct;winrate_A_min_pct;winrate_A_max_pct
simple;Random;FirstStat(poids);500;12346;497;503;49.7;50.3;46.60810695068221;52.794189188469645;55.201;1;;;;
simple;Random;MedianRatio(hist);500;12347;70;930;7.0;93.0;5.57761307775777;8.751500200671817;43.482;1;;;;
simple;Random;MeanRatio(hist);500;12348;94;906;9.4;90.6;7.743389633418888;11.367354531796025;43.012;1;;;;
simple;Random;MonteCarlo_random;500;12349;98;902;9.8;90.2;8.108172764860939;11.799509881484862;44.142;1;;;;
simple;Random;MonteCarlo_median;500;12350;79;921;7.9;92.1;6.384696504253541;9.737528356720542;42.355;1;;;;
simple;Random;CheatAbsolute(see both);500;12351;13;987;1.3;98.7;0.7612747122129776;2.21146521010146;36.305;1;;;;
simple;Random;CheatMedianAllCards(median global);500;12352;56;944;5.6;94.4;4.337460969160231;7.202367625311249;39.896;1;;;;
simple;FirstStat(poids);MedianRatio(hist);500;13347;100;900;10.0;90.0;8.290915646323203;12.015236240588042;49.012;1;;;;
simple;FirstStat(poids);MeanRatio(hist);500;13348;100;900;10.0;90.0;8.290915646323203;12.015236240588042;49.766;1;;;;
simple;FirstStat(poids);MonteCarlo_random;500;13349;117;883;11.7;88.3;9.852807434893382;13.840332996824136;45.251;1;;;;
simple;FirstStat(poids);MonteCarlo_median;500;13350;105;895;10.5;89.5;8.748748752043772;12.55357623628108;47.459;1;;;;
simple;FirstStat(poids);CheatAbsolute(see both);500;13351;24;976;2.4;97.6;1.6180052367186295;3.546315508705749;43.01;1;;;;
simple;FirstStat(poids);CheatMedianAllCards(median global);500;13352;93;907;9.3;90.7;7.652345008781691;11.259164536150498;44.151;1;;;;
simple;MedianRatio(hist);CheatMedianAllCards(median global);500;14352;444;556;44.4;55.6;41.34772046385085;47.49514080031674;64.048;1;;;;
simple;MeanRatio(hist);MonteCarlo_random;500;15349;500;500;50.0;50.0;46.90690341793595;53.09309658206405;56.574;1;;;;
simple;MeanRatio(hist);MonteCarlo_median;500;15350;444;556;44.4;55.6;41.34772046385085;47.49514080031674;55.382;1;;;;
simple;MeanRatio(hist);CheatAbsolute(see both);500;15351;161;839;16.1;83.9;13.952416184016233;18.50704754014105;66.913;1;;;;
simple;MeanRatio(hist);CheatMedianAllCards(median global);500;15352;451;549;45.1;54.9;42.0404869897352;48.19701661641144;62.901;1;;;;
repetitions;MedianRatio(hist);MonteCarlo_random;400;14349;;;;;;;;6;49.770833333333336;1.7251459278050139;47.125;52.75
repetitions;MedianRatio(hist);MonteCarlo_median;400;14350;;;;;;;;6;45.083333333333336;1.40806210405965;43.25;47.375
repetitions;MedianRatio(hist);CheatAbsolute(see both);400;14351;;;;;;;;6;19.833333333333332;0.5980291706003051;19.375;21.125
repetitions;MedianRatio(hist);MeanRatio(hist);1200;50000;;;;;;;;10;55.27916666666666;1.0987243585401125;53.666666666666664;57.625
repetitions;MedianRatio(hist);MonteCarlo_random;500;51000;;;;;;;;5;55.26707212688446;1.3265193908799227;53.26086956521739;56.60146699266504
repetitions;MedianRatio(hist);CheatMedianAllCards(median global);500;50000;;;;;;;;5;43.86965525523338;1.7455306107399406;40.985732814526585;45.67126725219573
repetitions;MeanRatio(hist);CheatMedianAllCards(median global);500;51000;;;;;;;;5;38.13810620541809;1.363569301743292;36.398963730569946;40.0
repetitions;MedianRatio(hist);MonteCarlo_median;200;50000;;;;;;;;5;45.67022939326656;3.44412794263344;40.0;48.338368580060425
repetitions;MeanRatio(hist);MonteCarlo_median;200;51000;;;;;;;;5;41.63177332557594;1.9839881309210352;38.66279069767442;43.46504559270517
